ade;status;serviço;Loja;tipo_x;valor_x;situacao_x;tipo_y;valor_y;situacao_y;seguro;status_aguardandoRetornoDaSeguradora;Numero loja
82767776;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.100,00;Emitida -;;;;;Cancelado na Consistencia;
82769372;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.264,50;Emitida -;;;;;-;
82769928;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.000,00;Emitida -;;;;;-;
82781540;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 3.812,20;Emitida -;;;;;Cancelado na Consistencia;
82784329;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;-;
82792814;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.121,00;Emitida -;;;;;-;
82793007;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 490,99;Emitida -;;;;;-;
82793943;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 248,91;Emitida -;;;;;-;
82803276;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;-;
82803565;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 615,04;Emitida -;;;;;-;
82806615;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;-;
82809668;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 532,47;Emitida -;;;;;-;
82812967;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 2.457,00;Emitida -;;;;;-;
82814302;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 2.630,60;Emitida -;;;;;-;
82823215;Crédito Enviado;Saque Complementar;37400;DOC E;R$ 1.000,00;Emitida -;;;;;-;
82829760;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;-;
82845883;Crédito Enviado;Cartão BMG Master;37400;DOC E;R$ 1.320,90;Emitida -;;;;;Cancelado na Consistencia;
82872765;Integrada;Cartão BMG Master;37400;DOC E;R$ 2.980,60;Emitida -;;;;;-;
82542722;Crédito Enviado;Saque FGTS;37400;PIX MCLIQ;R$ 1.004,55;Emitida -;;;;;Não Definido;
82549406;Crédito Enviado;Saque FGTS;37400;PIX MCLIQ;R$ 926,96;Emitida -;;;;;Não Definido;
82579335;Crédito Enviado;Saque FGTS;37400;PIX MCLIQ;R$ 206,73;Emitida -;;;;;Não Definido;
82596402;Crédito Enviado;Saque FGTS;37400;PIX MCLIQ;R$ 189,81;Emitida -;;;;;Não Definido;
82475407;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 115,33;Emitida -;;;;;;
82478017;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 1.145,76;Emitida -;;;;;;
82483610;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 219,55;Emitida -;;;;;;
82517265;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 229,40;Emitida -;;;;;;
82545929;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 488,44;Emitida -;;;;;;
82553088;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 1.578,93;Emitida -;;;;;;
82554879;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 354,48;Emitida -;;;;;;
82584583;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 437,04;Emitida -;;;;;;
82608456;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 1.200,00;Emitida -;;;;;;
82813429;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 138,03;Emitida -;;;;;;
82813588;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 164,24;Emitida -;;;;;;
82826163;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 137,60;Emitida -;;;;;;
82828056;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 174,25;Emitida -;;;;;;
82833968;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 153,28;Emitida -;;;;;;
82834069;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 286,01;Emitida -;;;;;;
82836981;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 185,72;Emitida -;;;;;;
82840474;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 102,88;Emitida -;;;;;;
82848714;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 124,00;Emitida -;;;;;;
82849739;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 189,58;Emitida -;;;;;;
82850197;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 329,25;Emitida -;;;;;;
82859598;Crédito Enviado;Saque Complementar;37400;Conta Corrente;R$ 145,81;Emitida -;;;;;;
